star_rating,review_body,sentiment,cleaned_text
5,"I really do love this clock. It is really loud when the radio is on and the display shows time, temperature, etc. I really liked it so I bought 2 for the other room.",positive,love clock loud radio display shows time temperature etc liked bought 2 room
5,Fits with my heavy duty phone case.,positive,fits heavy duty phone case
4,Excellent price.Simple to hook up. Using with an old TI 994a system.,positive,excellent price.simple hook old ti 994a system
4,"Caught these as a deal for $59.99. I work in a data center environment with lots of noise. These headphones muffle the noise really well. I can walk in and out of the data center without having to raise or lower the volume. Sound quality is very good.<br /><br />Only problem is that my ears are kind of crammed, but it's not that bad.",positive,caught deal $ 59.99 work data center environment lots noise headphones muffle noise walk data center having rai
5,Great buy and easy to use. So far they have shown excellent life. I have purchased other brands but I should have just bought Amazon rechargeable.,positive,great buy easy use far shown excellent life purchased brands bought amazon rechargeable
5,Ordered this for my boyfriend and he really enjoys it and it's sounds great and is pretty loud for the size. I didn't expect that but was very pleased. Can't wait to bring it to the beach.,positive,ordered boyfriend enjoys sounds great pretty loud size expect pleased wait bring beach
5,These headphones are wonderful. Comfortable and sturdy.,positive,headphones wonderful comfortable sturdy
4,this is a awesome unit.  i use it on the beach every weekend.  the only thing that seems to be a problem is the audio-in port.  when i connect the cable in fully it has a clicking sound present that won't stop.  so I back out the connector and it goes away.  I would have given it five except for that.,positive,awesome unit   use beach weekend   thing problem audio port   connect cable fully clicking sound present w
5,Great buy! Its made in the USA. I finally have plenty of wire for my LED projects.,positive,great buy usa finally plenty wire led projects
5,Just what I needed. Works great.,positive,needed works great
2,i bought these with a expectatio they would be great. The adjustment of the weight mechanism in order to use my 50 led super thin tv led to the tension bolt snapping. making it useless. The in ability to turn even a single degree to right or left made this unusable in a room that gets any direct sun.  I like the idea of the mount but its execution is poor.,negative,bought expectatio great adjustment weight mechanism order use 50 led super thin tv led tension bolt snapping making useless ability
4,"Generally a solid performer.  I bought it for a LONG road trip for family vacation to Canada.  Can be a bit touchy when going over small bumps, resulting in lost signal.  But for the price, I was pleased.",positive,generally solid performer   bought long road trip family vacation canada   bit touchy going small bumps resulting lost signal   price plea
5,"The product was received as expected, in a timely manner and well protected by packaging. Definitively, I would recommend this to a friend.",positive,product received expected timely manner protected packaging definitively recommend friend
5,"Very happy with this speaker!!! It sounds great, looks great, and the light show is so awesome!!! Very happy with my purchase! Thank you!!!",positive,happy speaker sounds great looks great light awesome happy purchase thank
4,works good. Wish remote buttons were directional. Motor sticks as you cannot tell which way it is rotating. Also it does not work without,positive,works good wish remote buttons directional motor sticks tell way rotating work
5,Good length,positive,good length
